                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.14468,                0.11912,                0.77221,                      1,                      1,                  0.995,                0.99498,                0.13138,                0.22502,                0.62649,              0.0089704,              0.0089704,              0.0089704
                    107,                0.14892,                 0.1223,                0.76971,                      1,                      1,                  0.995,                  0.995,                0.12984,                 0.2228,                0.62553,              0.0089605,              0.0089605,              0.0089605
                    108,                0.14919,                0.12112,                0.77089,                0.99839,                0.99848,                 0.9937,                 0.9934,                0.15959,                0.24013,                0.62737,              0.0089506,              0.0089506,              0.0089506
                    109,                0.15284,                0.12397,                0.76939,                0.94058,                0.94207,                0.92067,                 0.9204,                0.14371,                0.25521,                0.62563,              0.0089407,              0.0089407,              0.0089407
                    110,                0.14395,                0.12145,                0.76751,                0.99223,                0.99238,                 0.9896,                 0.9896,                0.12585,                0.19631,                0.62528,              0.0089308,              0.0089308,              0.0089308
                    111,                0.14871,                0.11618,                0.77799,                0.99839,                0.99848,                0.99498,                0.99492,                 0.1486,                0.21826,                0.62737,              0.0089209,              0.0089209,              0.0089209
                    112,                0.15521,                 0.1223,                0.77422,                      1,                      1,                  0.995,                0.99443,                0.15692,                0.23644,                0.62992,               0.008911,               0.008911,               0.008911
                    113,                0.14957,                0.12094,                0.77065,                      1,                      1,                  0.995,                  0.995,                0.12726,                0.20829,                0.62632,              0.0089011,              0.0089011,              0.0089011
                    114,                0.15212,                0.12728,                0.77257,                0.99535,                0.99543,                0.99066,                0.99066,                0.13168,                0.20867,                0.62532,              0.0088912,              0.0088912,              0.0088912
                    115,                0.14976,                0.12081,                0.76116,                0.99382,                 0.9939,                0.99125,                0.99125,                0.12315,                0.19514,                0.62491,              0.0088813,              0.0088813,              0.0088813
                    116,                 0.1489,                0.12271,                0.76275,                      1,                0.99695,                  0.995,                0.99489,                0.13569,                0.21803,                0.62654,              0.0088714,              0.0088714,              0.0088714
                    117,                0.14624,                0.12046,                0.77309,                0.94809,                0.94817,                0.92281,                0.92238,                0.14039,                0.19673,                0.62602,              0.0088615,              0.0088615,              0.0088615
                    118,                0.15336,                 0.1189,                0.77162,                0.95419,                0.95427,                0.93253,                0.93253,                0.12035,                0.18608,                0.62553,              0.0088516,              0.0088516,              0.0088516
                    119,                0.14675,                0.11832,                0.76931,                0.99382,                 0.9939,                0.99324,                0.99324,                0.12255,                0.19391,                0.62596,              0.0088417,              0.0088417,              0.0088417
                    120,                0.14845,                   0.12,                0.76641,                0.99992,                      1,                  0.995,                  0.995,                0.12366,                0.20584,                0.62645,              0.0088318,              0.0088318,              0.0088318
                    121,                0.15253,                0.12221,                0.76185,                0.99992,                      1,                  0.995,                  0.995,                0.15197,                0.24049,                0.62903,              0.0088219,              0.0088219,              0.0088219
                    122,                0.14992,                0.12303,                0.76733,                0.99828,                0.99848,                0.99415,                0.99415,                0.13384,                0.24021,                0.62649,               0.008812,               0.008812,               0.008812
                    123,                 0.1488,                0.12042,                0.77163,                0.99687,                0.99695,                0.99328,                0.99325,                0.13459,                0.22022,                0.62565,              0.0088021,              0.0088021,              0.0088021
                    124,                0.14991,                0.11927,                 0.7776,                0.99839,                0.99848,                0.99462,                0.99462,                0.11758,                0.20392,                0.62464,              0.0087922,              0.0087922,              0.0087922
                    122,                0.14583,                0.12474,                0.77083,                      1,                      1,                  0.995,                  0.995,                0.12834,                0.21608,                0.62538,              0.0088219,              0.0088219,              0.0088219
                    123,                 0.1497,                0.11941,                0.76678,                0.99839,                0.99848,                0.99415,                0.99415,                0.12232,                0.20434,                0.62537,              0.0088021,              0.0088021,              0.0088021
                    124,                0.14445,                0.11938,                0.76662,                0.99535,                0.99543,                0.99264,                0.99264,                0.12056,                0.19656,                0.62512,              0.0087922,              0.0087922,              0.0087922
                    125,                 0.1436,                0.11718,                0.77828,                0.99687,                0.99695,                0.99442,                0.99441,                  0.151,                0.23796,                0.62655,              0.0087823,              0.0087823,              0.0087823
                    126,                0.14791,                0.11695,                0.76958,                0.99533,                0.99543,                0.99293,                0.99293,                0.12322,                0.19914,                0.62453,              0.0087724,              0.0087724,              0.0087724
                    127,                0.14522,                0.11814,                0.76425,                0.99992,                      1,                  0.995,                  0.995,                0.12077,                0.21021,                0.62533,              0.0087625,              0.0087625,              0.0087625
                    128,                 0.1481,                0.11693,                 0.7673,                      1,                      1,                  0.995,                0.99491,                0.14201,                0.23332,                0.62595,              0.0087526,              0.0087526,              0.0087526
                    129,                 0.1435,                0.11431,                0.76234,                0.99838,                0.99848,                0.99471,                0.99431,                0.16203,                0.24447,                0.62707,              0.0087427,              0.0087427,              0.0087427
                    130,                0.14995,                0.12163,                0.76725,                0.99816,                0.99848,                0.99456,                0.99428,                0.14522,                0.22922,                0.62658,              0.0087328,              0.0087328,              0.0087328
                    131,                0.14731,                0.11916,                0.76375,                0.99799,                0.99848,                0.99428,                0.99416,                0.12936,                0.19515,                0.62589,              0.0087229,              0.0087229,              0.0087229
                    132,                0.14491,                0.11997,                0.77513,                      1,                      1,                  0.995,                0.99481,                0.14132,                0.22408,                 0.6261,               0.008713,               0.008713,               0.008713
                    133,                0.14517,                0.11533,                0.76717,                 0.9984,                0.99848,                0.99412,                0.99359,                0.15083,                0.23793,                0.62656,              0.0087031,              0.0087031,              0.0087031
                    134,                0.14467,                0.11948,                0.77651,                      1,                      1,                  0.995,                  0.995,                0.12976,                0.21086,                0.62628,              0.0086932,              0.0086932,              0.0086932
                    135,                0.14983,                0.12339,                0.76869,                0.99988,                      1,                  0.995,                  0.995,                0.15877,                0.33667,                0.62935,              0.0086833,              0.0086833,              0.0086833
                    136,                0.14413,                0.12285,                0.76674,                0.96614,                0.96341,                0.95508,                0.95508,                0.13535,                 0.2283,                0.62638,              0.0086734,              0.0086734,              0.0086734
                    137,                0.14729,                0.11924,                0.77539,                0.98465,                0.98476,                0.97852,                0.97852,                0.14544,                0.21588,                0.62659,              0.0086635,              0.0086635,              0.0086635
                    138,                0.14794,                0.11941,                0.77058,                0.99992,                      1,                  0.995,                0.99486,                0.13554,                0.20422,                0.62575,              0.0086536,              0.0086536,              0.0086536
                    139,                0.14585,                0.11987,                 0.7745,                0.99687,                0.99695,                0.99401,                0.99401,                0.12624,                0.19336,                 0.6249,              0.0086437,              0.0086437,              0.0086437
